date,estimated_usd,official_usd,index_krw,gap_pct,is_rebalance
2026-01-05,5094.239841341318,5094.239841341318,6304.53412136947,0.0,Y
2026-01-06,5086.680782261769,5086.680782261769,6304.023226486978,0.0,N
2026-01-07,5086.8228656982,5086.8228656982,6311.736573508548,0.0,N
2026-01-08,5073.43793451065,5073.43793451065,6309.163961281128,0.0,N
2026-01-09,5145.188755703379,5145.188755703379,6421.72491042637,0.0,N
2026-01-12,5180.7838701603905,5180.892951147303,6509.30769881335,0.0021054476118586908,Y
2026-01-13,5177.614747266057,5177.082827243352,6540.880289622363,0.010274512509358725,N
2026-01-14,5137.295342211414,5136.914212142603,6436.54171661758,0.007419436125880869,N
2026-01-15,5134.491745815137,5131.98743127925,6461.554406981145,0.04879814242379303,N
2026-01-16,5157.060962749497,5155.233626194304,6506.431504066089,0.03544624138677724,N
2026-01-19,5157.060962749497,5155.233626194304,6507.137966586381,0.03544624138677724,N
2026-01-20,4995.217360661427,4992.318137246315,6331.943743124617,0.0580736911272062,N
2026-01-21,5089.769664505752,5085.5568629139825,6381.642974230475,0.08283855053300446,N
2026-01-22,5179.939779169386,5175.9427588418,6490.6754869154865,0.07722303962419669,N
2026-01-23,5181.984508292955,5178.4062814283025,6414.950588583576,0.0690989982281897,N
2026-01-26,5117.502030027898,5113.101755185238,6331.8624342664425,0.08605881622046258,N
2026-01-27,5160.187283997381,5155.960796114466,6323.510622148849,0.08197284754571094,N
2026-01-28,5193.633828076944,5189.636331598489,6357.811219817559,0.07702845099405672,N
2026-01-29,5100.620516471198,5094.631062613401,6247.180289825184,0.1175640352399713,N
2026-01-30,5065.415727425955,5059.348840244643,6286.703293558299,0.11991438765900368,N
2026-02-02,5037.852735302207,5030.764490165322,6266.997865643528,0.1408979718836391,N
2026-02-03,5004.537846988555,4998.67120221957,6209.764516211033,0.11736408600711129,N
2026-02-04,4813.6125816027115,4805.553624841154,6017.931469006087,0.16770090172127364,N
2026-02-05,4688.907118402544,4679.751828955898,5898.8296654499,0.19563621707453832,N
2026-02-06,4882.193925026129,4872.458974363266,6107.72556144361,0.19979543622808188,N
2026-02-09,4955.152820715384,4946.092361213537,6175.032539010008,0.1831841955257101,N
2026-02-10,4935.980371114269,4926.767035362079,6146.263826293286,0.18700571157638815,N
2026-02-11,4939.463157735303,4928.97138817025,6104.940306160508,0.21285921014339024,N
2026-02-12,4811.549195033641,4800.5856638048945,5921.418556292831,0.228379035320804,N
2026-02-13,4826.0926600198145,4816.126573526167,5942.237912191969,0.20693157336085033,N
2026-02-16,4826.0926600198145,4816.126573526167,5957.809598285241,0.20693157336085033,N
2026-02-17,4797.286897567956,4787.256600637584,5923.223438493147,0.20952077081132836,N
2026-02-18,4836.470387821271,4827.339206281271,5964.010636092885,0.18915558136289704,N
2026-02-19,4833.503717085228,4824.243328002862,5989.253715089648,0.1919552653700868,N
2026-02-20,4862.27744633577,4853.074700031152,6011.206135071904,0.1896271307045579,N
2026-02-23,4777.51253336237,4766.633104550155,5896.032349165211,0.22824137233952413,N
2026-02-24,4844.467468465004,4833.606433661954,5967.34456265789,0.2246983686427565,N
2026-02-25,4940.262183522946,4934.211568378248,6029.317810210664,0.12262577436837943,N
2026-02-26,4883.67050316033,4880.410781471615,5986.357443366302,0.06679195327347807,N
2026-02-27,4823.391603062098,4820.119968301189,5944.027484977262,0.06787455047641719,N
2026-03-02,4853.379830714297,4852.3212207519455,6041.297014753903,0.021816568075175007,N
2026-03-03,4747.205479743831,4747.859361124927,6021.887537698671,0.013772130372050807,N
2026-03-04,4856.663237115937,4858.360882801362,6084.893526789277,0.03494276622049823,N
2026-03-05,4830.853702351542,4833.063707413816,6131.155838017725,0.04572679352196044,N
2026-03-06,4728.530293512008,4731.229426148557,6005.536286302156,0.05704928663216259,N
2026-03-09,4812.3166892456575,4815.374084829648,6028.703508598906,0.0634923794108318,N
2026-03-10,4812.842650175339,4816.250382809936,6077.775008585858,0.07075488946255118,N
2026-03-11,4862.642915330581,4865.745954641799,6158.905166781089,0.06377314681333862,N
2026-03-12,4744.642806575247,4748.523540000811,6072.103913478717,0.08172505396411481,N
2026-03-13,4711.082372665814,4715.120676468697,6063.636466908955,0.08564582075357413,N
