date,estimated_index_usd,estimated_index_krw,daily_return,fx_rate
2025-12-01,5000.0,6302.374182054884,0.0,1471.68
2025-12-02,5051.661430322286,6353.516930484739,0.01033228606445721,1468.45
2025-12-03,5146.456583756739,6462.29492986577,0.018765143852565218,1466.08
2025-12-04,5244.391543240934,6623.674244929066,0.01902959014427464,1474.63
2025-12-05,5236.068908863617,6609.485352848923,-0.0015869590034793112,1473.81
2025-12-08,5224.414568046693,6575.9805863057145,-0.0022257806418850847,1469.61
2025-12-09,5248.650482414005,6606.598762995055,0.004638972281323596,1469.635
2025-12-10,5278.833935027353,6641.833414474252,0.0057507072940902165,1469.025
2025-12-11,5261.228159973937,6629.798173048798,-0.0033351636497964765,1471.27
2025-12-12,5109.042206844053,6453.953065620922,-0.028925936777970458,1474.91
2025-12-15,5057.2440882441615,6361.924354628779,-0.010138518435119438,1468.77
2025-12-16,5108.454764345702,6444.963495880578,0.010126202178095834,1473.025
2025-12-17,4928.524159629144,6227.772550369024,-0.03522211960696565,1475.35
2025-12-18,5040.219929402811,6369.819897075621,0.02266312716666733,1475.56
2025-12-19,5168.435107757866,6532.566255456198,0.02543840946445485,1475.72
2025-12-22,5244.3386839815,6645.661770271325,0.014685988048820141,1479.54
2025-12-23,5243.419449448793,6646.922007211766,-0.00017528130582321043,1480.08
2025-12-24,5252.3899171834455,6507.1405044772955,0.0017108049091122959,1446.48
2025-12-26,5196.498700515762,6419.604843145465,-0.01064110196480892,1442.37
2025-12-29,5134.777525754601,6314.02248597578,-0.01187745409327921,1435.7
2025-12-30,5110.803021186037,6296.360842846617,-0.004669044461676192,1438.4
2025-12-31,5064.963748522073,6249.518718863158,-0.008969093990502967,1440.62
2026-01-02,5163.550013672721,6379.387460792274,0.01946435750491117,1442.48
2026-01-05,5280.604188011691,6535.175084336131,0.022669321305888033,1444.95
2026-01-06,5334.612487914871,6611.289850425726,0.010227674330485161,1446.98
2026-01-07,5320.844395339196,6602.110798564398,-0.0025808983514483694,1448.71
2026-01-08,5294.844055159188,6584.497479742225,-0.004886506397891074,1451.94
