date,index_point_usd,index_point_krw,daily_return,phase
2020-01-06,1000.0,1000.0,0.0,1A
2020-01-13,1019.3628020660601,1008.3533764827471,0.019362802066060083,1A
2020-01-20,1015.2317215975245,1008.3189357991927,-0.00405261057217572,1A
2020-01-27,1010.2356508289151,1019.0093237017484,-0.004921113734259336,1A
2020-02-03,1048.0763744306435,1068.929105063779,0.03745732351722042,1A
2020-02-10,1076.5886570559367,1095.5928129210938,0.027204393993502766,1A
2020-02-17,1075.0567457550042,1091.4418863822186,-0.0014229309317838918,1A
2020-02-24,978.5731926057545,1021.8293528633714,-0.08974740499069185,1A
2020-03-02,986.98787436686,1005.712206664323,0.008598929364393064,1A
2020-03-09,896.0430947659195,921.66055211568,-0.09214376585860327,1A
2020-03-16,806.0737569250655,851.1632401762697,-0.10040737813437128,1A
2020-03-23,878.4497128342052,957.7807431206477,0.08978825484312095,1A
2020-03-30,857.8476614553921,899.8377894592426,-0.02345273847531153,1A
2020-04-06,938.1543871784927,984.0191413839711,0.09361420370005477,1A
2020-04-13,1000.8595593039192,1042.3491638384269,0.06683886253947272,1A
2020-04-20,990.1426893167305,1035.1399238015927,-0.010707666113157847,1A
2020-04-27,980.3768511895508,1026.4668896987448,-0.009863061387565137,1A
2020-05-04,1028.0761021238077,1077.9319287213702,0.04865399552874013,1A
2020-05-11,1022.6384085099752,1071.5561130521676,-0.0052891936721408605,1A
2020-05-18,1055.8721388463061,1108.0571244334506,0.03249802673141692,1A
2020-05-25,1071.766716297075,1139.1353819836713,0.01505350588011147,1A
2020-06-01,1127.2161394335674,1180.788738338265,0.05173646680134715,1A
2020-06-08,1112.363030725946,1139.3156071581952,-0.013176806282320607,1A
2020-06-15,1134.7976289163155,1174.7346210813191,0.02016841406148526,1A
2020-06-22,1111.4664285772765,1151.4200463848308,-0.02055978946776557,1A
2020-06-29,1176.5839513066933,1208.932048909339,0.05858703515928055,1A
2020-07-06,1245.0750221047986,1271.190928175019,0.05821180097012227,1A
2020-07-13,1239.1286740757287,1277.664391431316,-0.0047758953665439086,1A
2020-07-20,1222.6564203369562,1257.6953766428203,-0.01329341664299647,1A
2020-07-27,1249.0546942988155,1279.5546680341774,0.02159091754867999,1A
2020-08-03,1286.2555864761282,1313.956858121219,0.029783237152954518,1A
2020-08-10,1309.2080717856686,1329.9749133094194,0.01784442030873637,1A
2020-08-17,1384.1301200529113,1403.844810429834,0.05722699842894654,1A
2020-08-24,1442.4748119407461,1469.0125136096,0.042152606205552876,1A
2020-08-31,1387.7324962670782,1412.116110094992,-0.03795027491677043,1A
2020-09-07,1313.687482453337,1336.4268911521465,-0.05335683499011376,1A
2020-09-14,1354.3391173477053,1370.9557433506566,0.030944677053975158,1A
2020-09-21,1345.2500328460849,1342.1160781976373,-0.006711084679751511,1A
2020-09-28,1366.2645435870602,1366.0188041354231,0.015621267591806631,1A
2020-10-05,1420.6048469293555,1408.1090336281422,0.03977290020249481,1A
2020-10-12,1428.5156663369287,1404.9387222053101,0.005568627633977554,1A
2020-10-19,1401.0506145153226,1368.6511090578613,-0.019226286745621164,1A
2020-10-26,1315.3240225636898,1275.8325329520467,-0.061187362585961205,1A
2020-11-02,1438.8745933671837,1396.4130289812283,0.09393166146443709,1A
2020-11-09,1421.0538210726927,1362.498458323192,-0.012385215762818978,1A
2020-11-16,1487.8410085641276,1410.8722901108806,0.04699835185765167,1A
2020-11-23,1597.183181851706,1523.9285659106333,0.07349049573052244,1A
2020-11-30,1625.4710325909207,1545.0857012830652,0.017711087282060393,1A
2020-12-07,1618.6152933730098,1503.5088938656945,-0.004217693874853704,1A
2020-12-14,1701.120220358132,1592.9607599806905,0.050972536416106204,1A
2020-12-21,1686.5023584233716,1595.1397953257335,-0.008593079877495647,1A
2020-12-28,1722.3364873934863,1618.6844495652779,0.02124760086526919,1A
2021-01-04,1873.9104988664326,1744.1237876988403,0.0880048774338702,1A
