date,index_point,weekly_return,component_count,core_count,satellite_count,top3_contributors,satellite_method,phase
2020-01-06,1000.0,0.0,68,48,20,,SYMMETRIC,1
2020-01-13,1019.8135244098254,0.019813524409825336,68,48,20,"TSLA(+0.31%), MSFT(+0.24%), GOOGL(+0.19%)",SYMMETRIC,1
2020-01-20,1015.7296173851897,-0.004004562527251343,67,48,19,"TSLA(+0.49%), BYND(+0.07%), INTC(+0.06%)",SYMMETRIC,1
2020-01-27,1010.8784018991897,-0.0047760894267202085,65,49,16,"AMZN(+0.86%), TSLA(+0.74%), MSFT(+0.20%)",SYMMETRIC,1
2020-02-03,1050.0075001702792,0.038708016906460516,65,49,16,"TSLA(+0.77%), MSFT(+0.50%), AMZN(+0.38%)",SYMMETRIC,1
2020-02-10,1082.7396566589787,0.031173259698994052,63,49,14,"NVDA(+0.55%), TSLA(+0.48%), SPCE(+0.34%)",SYMMETRIC,1
2020-02-17,1084.4732626105306,0.0016011290811138257,66,49,17,"TSLA(+1.00%), TVIX(+0.10%), SPCE(+0.10%)",SYMMETRIC,1
2020-02-24,980.0888306860977,-0.09625357814093083,66,49,17,"TVIX(+0.62%), UVXY(+0.35%), SQQQ(+0.21%)",SYMMETRIC,1
2020-03-02,989.5076541362314,0.009610173236583147,66,49,17,"TSLA(+0.47%), AAPL(+0.34%), TVIX(+0.32%)",SYMMETRIC,1
2020-03-09,890.7292723180652,-0.09982578851741436,70,48,22,"TVIX(+0.59%), UVXY(+0.39%), SPXU(+0.05%)",SYMMETRIC,1
2020-03-16,791.809555763084,-0.11105474988775112,70,49,21,"TVIX(+0.47%), AMZN(+0.34%), UVXY(+0.32%)",SYMMETRIC,1
2020-03-23,863.197283344004,0.0901576989837186,70,49,21,"TSLA(+1.22%), TQQQ(+0.80%), NVDA(+0.73%)",SYMMETRIC,1
2020-03-30,841.3560688415201,-0.02530269142862862,69,48,21,"MSFT(+0.21%), USO(+0.09%), QYLD(+0.05%)",SYMMETRIC,1
2020-04-06,923.8362617082608,0.09803244538345031,70,49,21,"TSLA(+1.18%), TQQQ(+0.98%), AAPL(+0.93%)",SYMMETRIC,1
2020-04-13,988.1548485702759,0.06962119753026778,73,49,24,"TSLA(+1.93%), AMZN(+1.85%), TQQQ(+0.67%)",SYMMETRIC,1
2020-04-20,969.6585922577187,-0.01871797354363915,72,49,23,"INO(+0.27%), SCO(+0.19%), AMZN(+0.16%)",SYMMETRIC,1
2020-04-27,957.366365202468,-0.012676860859480414,69,49,20,"GOOGL(+0.18%), AAPL(+0.15%), DAL(+0.14%)",SYMMETRIC,1
2020-05-04,1008.169062525078,0.05306505343110302,70,49,21,"TSLA(+1.18%), TQQQ(+0.56%), AAPL(+0.54%)",SYMMETRIC,1
2020-05-11,1001.4507653687284,-0.00666385967004653,71,49,22,"SRNE(+0.47%), NVAX(+0.37%), NVDA(+0.23%)",SYMMETRIC,1
2020-05-18,1037.9480365797751,0.03644439893918172,70,49,21,"DAL(+0.40%), BA(+0.32%), AAPL(+0.29%)",SYMMETRIC,1
2020-05-25,1054.3489116535425,0.01580124870972451,68,49,19,"HAS(+0.36%), DAL(+0.23%), TSLA(+0.17%)",SYMMETRIC,1
2020-06-01,1114.6783144452947,0.057219580847422964,68,49,19,"BA(+0.87%), DAL(+0.78%), TSLA(+0.47%)",SYMMETRIC,1
2020-06-08,1100.4847642337982,-0.012733315098679093,68,49,19,"TSLA(+0.46%), TVIX(+0.37%), AMZN(+0.21%)",SYMMETRIC,1
2020-06-15,1123.9938542652449,0.0213624856931252,67,49,18,"TSLA(+0.58%), AMZN(+0.39%), MSFT(+0.31%)",SYMMETRIC,1
2020-06-22,1097.332584122945,-0.023720120925152553,68,49,19,"INO(+0.49%), AAPL(+0.10%), AMZN(+0.05%)",SYMMETRIC,1
2020-06-29,1165.2320658087501,0.06187684815727457,67,49,18,"TSLA(+2.52%), AMZN(+0.59%), GOOGL(+0.45%)",SYMMETRIC,1
2020-07-06,1235.9044925750704,0.060650945712920075,68,49,19,"TSLA(+2.75%), AMZN(+0.89%), AAPL(+0.45%)",SYMMETRIC,1
2020-07-13,1228.9580189874916,-0.005620558570108749,71,49,22,"NVAX(+0.50%), VXRT(+0.43%), MRNA(+0.28%)",SYMMETRIC,1
2020-07-20,1208.5681979982974,-0.016591145241879747,70,48,22,"AMD(+0.29%), AMZN(+0.16%), GLD(+0.06%)",SYMMETRIC,1
2020-07-27,1235.979770719592,0.022681030964322103,70,48,22,"AAPL(+1.21%), AMZN(+0.51%), TSLA(+0.20%)",SYMMETRIC,1
2020-08-03,1273.0346595030046,0.029980174159192945,69,48,21,"AAPL(+0.37%), TSLA(+0.30%), MSFT(+0.29%)",SYMMETRIC,1
2020-08-10,1300.0221518289297,0.021199338230477698,69,48,21,"TSLA(+2.37%), AAPL(+0.43%), NVDA(+0.13%)",SYMMETRIC,1
2020-08-17,1382.7728380727533,0.06365328939003552,69,48,21,"TSLA(+4.17%), AAPL(+1.02%), NVDA(+0.43%)",SYMMETRIC,1
2020-08-24,1438.633117991205,0.04039729330835522,64,47,17,"TSLA(+1.56%), MSFT(+0.55%), AMZN(+0.33%)",SYMMETRIC,1
2020-08-31,1382.9157937658654,-0.03872934908042353,64,46,18,"UVXY(+0.09%), SQQQ(+0.03%), CCL(+0.02%)",SYMMETRIC,1
2020-09-07,1307.0992484916321,-0.054823688915848365,64,46,18,"SQQQ(+0.04%), SQQQ(+0.03%), INO(+0.03%)",SYMMETRIC,1
2020-09-14,1356.6751287259128,0.03792816826380261,65,47,18,"TSLA(+4.92%), KODK(+0.23%), INO(+0.19%)",SYMMETRIC,1
2020-09-21,1343.9416022293613,-0.00938583322339675,66,47,19,"AAPL(+0.68%), AMZN(+0.46%), NVDA(+0.36%)",SYMMETRIC,1
2020-09-28,1367.0247742975519,0.017175725515081713,64,46,18,"TSLA(+0.51%), NNOX(+0.38%), HAS(+0.14%)",SYMMETRIC,1
2020-10-05,1422.1631367786101,0.040334574411346066,62,45,17,"TSLA(+1.15%), AMZN(+0.51%), AAPL(+0.49%)",SYMMETRIC,1
