date,index_point_usd,index_point_krw,daily_return,phase
2020-01-06,1000.0,1000.0,0.0,1A
2020-01-13,1019.3628020660601,1008.3533764827471,0.01936280206606006,1A
2020-01-20,1019.3628020660601,1012.4218874437494,0.0,1A
2020-01-27,1019.3628020660601,1028.2157422258376,0.0,1A
2020-02-03,1057.5454043244688,1078.5865326112012,0.037457323517220434,1A
2020-02-10,1086.3152861697297,1105.491138415403,0.02720439399350276,1A
2020-02-17,1086.3152861697297,1102.8720203139196,0.0,1A
2020-02-24,1086.3152861697297,1134.3340020551832,0.0,1A
2020-03-02,1095.6564345829636,1116.4423385416576,0.008598929364393059,1A
2020-03-09,994.6985246132789,1023.1364950401446,-0.09214376585860325,1A
2020-03-16,894.8234537227322,944.8773436835322,-0.1004073781343713,1A
2020-03-23,975.1680900251906,1063.2335628165301,0.08978825484312096,1A
2020-03-30,952.2977278403608,998.9110197877353,-0.023452738475311517,1A
2020-04-06,1041.4463213175077,1092.3608405035054,0.09361420370005474,1A
2020-04-13,1111.0554088302881,1157.1130690682082,0.06683886253947267,1A
2020-04-20,1099.1585984793153,1149.110082972885,-0.010707666113157847,1A
2020-04-27,1088.3175297478438,1139.4821373122168,-0.00986306138756513,1A
2020-05-04,1141.268525974045,1196.613539455708,0.048653995528740064,1A
2020-05-11,1135.2321357082494,1189.5357387601746,-0.005289193672140865,1A
2020-05-18,1172.1249400008596,1230.0555556974832,0.03249802673141691,1A
2020-05-25,1172.1249400008596,1245.8018810973886,0.0,1A
2020-06-01,1172.1249400008596,1227.8318954640886,0.0,1A
2020-06-08,1156.6800767277916,1184.7064559893533,-0.013176806282320602,1A
2020-06-15,1180.0084794519082,1221.536579438786,0.020168414061485274,1A
2020-06-22,1155.7477535441988,1197.2931415467426,-0.020559789467765592,1A
2020-06-29,1223.4595878163523,1257.0964482508525,0.05858703515928054,1A
2020-07-06,1294.6793738373055,1321.835749411388,0.058211800970122254,1A
2020-07-13,1288.496120614636,1328.5671183702266,-0.004775895366543903,1A
2020-07-20,1271.367604840421,1307.8025290053124,-0.013293416642996474,1A
2020-07-27,1298.8175979705934,1330.5327044474695,0.02159091754868,1A
2020-08-03,1337.5005905093824,1366.3054933395226,0.029783237152954518,1A
2020-08-10,1361.367513209615,1382.9617150875845,0.017844420308736366,1A
2020-08-17,1439.2744897492807,1459.7746223030942,0.05722699842894655,1A
2020-08-24,1499.94366053738,1527.5386362374236,0.04215260620555289,1A
2020-08-31,1443.0203862603196,1468.3754542860574,-0.037950274916770416,1A
2020-09-07,1443.0203862603196,1467.9984961701496,0.0,1A
2020-09-14,1443.0203862603196,1460.725058425501,0.0,1A
2020-09-21,1433.3361542535188,1429.9969902366206,-0.006711084679751518,1A
2020-09-28,1455.726681868124,1455.4648515526007,0.015621267591806641,1A
2020-10-05,1513.6251539081738,1500.3111226544165,0.0397729002024948,1A
2020-10-12,1522.0539687677103,1496.933221244539,0.005568627633977553,1A
2020-10-19,1492.7905227218716,1458.2695181366764,-0.019226286745621157,1A
2020-10-26,1401.450607743202,1359.373240366418,-0.06118736258596118,1A
2020-11-02,1533.0911917888661,1487.849271019839,0.09393166146443713,1A
2020-11-09,1514.1035265944838,1451.7139957228708,-0.012385215762818974,1A
2020-11-16,1585.2638968862827,1503.255315424147,0.046998351857651686,1A
2020-11-23,1701.7657265321554,1623.7144446658729,0.07349049573052244,1A
2020-11-30,1731.905847848385,1646.2569358826054,0.017711087282060382,1A
2020-12-07,1724.6011991620917,1601.9577054089411,-0.004217693874853707,1A
2020-12-14,1812.508496589642,1697.2668231473076,0.05097253641610615,1A
2020-12-21,1796.9334662998076,1699.5885403487105,-0.00859307987749564,1A
2020-12-28,1835.1139913731904,1724.6748836580948,0.021247600865269195,1A
2021-01-04,1996.6129732611685,1858.3279103241337,0.08800487743387019,1A
2021-01-11,1953.3001245723997,1835.8906529028575,-0.021693162004263498,1A
2021-01-18,1953.3001245723997,1847.2668912521433,0.0,1A
2021-01-25,1953.3001245723997,1844.7741566726675,0.0,1A
2021-02-01,2066.0704871468406,1977.3888583968287,0.05773324905671003,1A
2021-02-08,2094.3624653194897,2004.2153330996205,0.013693617109704391,1A
