date,index_point_usd,index_point_krw,daily_return,phase,leveraged_etf_weight,data_lag_days
2020-01-06 00:00:00,1000.0,1000.0,0.0,1A,,
2020-01-13 00:00:00,1019.36280206606,1008.3533764827472,0.01936280206606,1A,,
2020-01-20 00:00:00,1015.2317215975244,1008.3189357991928,-0.0040526105721757,1A,,
2020-01-27 00:00:00,1010.2356508289153,1019.0093237017484,-0.0049211137342593,1A,,
2020-02-03 00:00:00,1048.0763744306437,1068.929105063779,0.0374573235172204,1A,,
2020-02-10 00:00:00,1076.588657055937,1095.5928129210938,0.0272043939935027,1A,,
2020-02-17 00:00:00,1075.0567457550042,1091.4418863822186,-0.0014229309317838,1A,,
2020-02-24 00:00:00,978.5731926057543,1021.8293528633714,-0.0897474049906918,1A,,
2020-03-02 00:00:00,986.98787436686,1005.712206664323,0.008598929364393,1A,,
2020-03-09 00:00:00,896.0430947659195,921.66055211568,-0.0921437658586032,1A,,
2020-03-16 00:00:00,806.0737569250655,851.1632401762697,-0.1004073781343712,1A,,
2020-03-23 00:00:00,878.4497128342052,957.7807431206476,0.0897882548431209,1A,,
2020-03-30 00:00:00,857.8476614553921,899.8377894592426,-0.0234527384753115,1A,,
2020-04-06 00:00:00,938.1543871784928,984.0191413839711,0.0936142037000547,1A,,
2020-04-13 00:00:00,1000.8595593039192,1042.3491638384269,0.0668388625394727,1A,,
2020-04-20 00:00:00,990.1426893167304,1035.1399238015929,-0.0107076661131578,1A,,
2020-04-27 00:00:00,980.3768511895508,1026.4668896987448,-0.0098630613875651,1A,,
2020-05-04 00:00:00,1028.0761021238077,1077.9319287213702,0.0486539955287401,1A,,
2020-05-11 00:00:00,1022.6384085099752,1071.5561130521676,-0.0052891936721408,1A,,
2020-05-18 00:00:00,1055.872138846306,1108.0571244334506,0.0324980267314169,1A,,
2020-05-25 00:00:00,1071.766716297075,1139.135381983671,0.0150535058801114,1A,,
2020-06-01 00:00:00,1127.2161394335674,1180.788738338265,0.0517364668013471,1A,,
2020-06-08 00:00:00,1112.363030725946,1139.3156071581952,-0.0131768062823206,1A,,
2020-06-15 00:00:00,1134.7976289163155,1174.7346210813191,0.0201684140614852,1A,,
2020-06-22 00:00:00,1111.4664285772765,1151.4200463848308,-0.0205597894677655,1A,,
2020-06-29 00:00:00,1176.5839513066933,1208.932048909339,0.0585870351592805,1A,,
2020-07-06 00:00:00,1245.0750221047986,1271.190928175019,0.0582118009701222,1A,,
2020-07-13 00:00:00,1239.128674075729,1277.664391431316,-0.0047758953665439,1A,,
2020-07-20 00:00:00,1222.6564203369562,1257.6953766428203,-0.0132934166429964,1A,,
2020-07-27 00:00:00,1249.0546942988155,1279.5546680341774,0.0215909175486799,1A,,
2020-08-03 00:00:00,1286.2555864761282,1313.956858121219,0.0297832371529545,1A,,
2020-08-10 00:00:00,1309.2080717856686,1329.9749133094194,0.0178444203087363,1A,,
2020-08-17 00:00:00,1384.1301200529113,1403.844810429834,0.0572269984289465,1A,,
2020-08-24 00:00:00,1442.474811940746,1469.0125136096,0.0421526062055528,1A,,
2020-08-31 00:00:00,1387.7324962670782,1412.116110094992,-0.0379502749167704,1A,,
2020-09-07 00:00:00,1313.687482453337,1336.4268911521465,-0.0533568349901137,1A,,
2020-09-14 00:00:00,1354.3391173477053,1370.9557433506566,0.0309446770539751,1A,,
2020-09-21 00:00:00,1345.2500328460849,1342.1160781976373,-0.0067110846797515,1A,,
2020-09-28 00:00:00,1366.2645435870602,1366.0188041354231,0.0156212675918066,1A,,
2020-10-05 00:00:00,1420.6048469293555,1408.1090336281422,0.0397729002024948,1A,,
2020-10-12 00:00:00,1428.5156663369287,1404.93872220531,0.0055686276339775,1A,,
2020-10-19 00:00:00,1401.0506145153226,1368.6511090578613,-0.0192262867456211,1A,,
2020-10-26 00:00:00,1315.3240225636898,1275.832532952047,-0.0611873625859612,1A,,
2020-11-02 00:00:00,1438.8745933671837,1396.4130289812283,0.093931661464437,1A,,
2020-11-09 00:00:00,1421.0538210726927,1362.498458323192,-0.0123852157628189,1A,,
2020-11-16 00:00:00,1487.8410085641276,1410.8722901108806,0.0469983518576516,1A,,
2020-11-23 00:00:00,1597.183181851706,1523.928565910633,0.0734904957305224,1A,,
2020-11-30 00:00:00,1625.471032590921,1545.0857012830652,0.0177110872820603,1A,,
2020-12-07 00:00:00,1618.6152933730098,1503.5088938656943,-0.0042176938748537,1A,,
2020-12-14 00:00:00,1701.120220358132,1592.9607599806905,0.0509725364161062,1A,,
2020-12-21 00:00:00,1686.5023584233716,1595.1397953257335,-0.0085930798774956,1A,,
2020-12-28 00:00:00,1722.3364873934863,1618.684449565278,0.0212476008652691,1A,,
2021-01-04 00:00:00,1873.9104988664328,1744.1237876988405,0.0880048774338702,1A,,
2021-01-11 00:00:00,1833.2594548330328,1723.0654189460704,-0.0216931620042635,1A,,
2021-01-18 00:00:00,1941.1235477115708,1835.7513094934416,0.0588373307412516,1A,,
2021-01-25 00:00:00,1893.0255444564368,1787.8484511431263,-0.0247784347945485,1A,,
2021-02-01 00:00:00,2002.3160596852545,1916.3709525120669,0.0577332490567099,1A,,
2021-02-08 00:00:00,2029.735009139196,1942.369620735782,0.0136936171097043,1A,,
2021-02-15 00:00:00,1955.9053225626608,1846.5980301775048,-0.0363740519053498,1A,,
2021-02-22 00:00:00,1791.2242397188782,1706.876104548314,-0.0841968580708267,1A,,
2021-03-01 00:00:00,1681.1171186426086,1603.3217523057522,-0.0614703165771975,1A,,
2021-03-08 00:00:00,1831.9819702435136,1791.6098299728933,0.0897408335968399,1A,,
2021-03-15 00:00:00,1784.623787646874,1731.5693050770506,-0.025850790764248,1A,,
2021-03-22 00:00:00,1727.2429162276828,1666.5003469890069,-0.0321529231070326,1A,,
2021-03-29 00:00:00,1799.7235543197305,1745.7731582791066,0.0419631989288142,1A,,
2021-04-05 00:00:00,1850.878586052605,1783.4656806157222,0.0284238274317693,1A,,
2021-04-12 00:00:00,1904.2022074877216,1835.1651734655256,0.0288098970061783,1A,,
2021-04-19 00:00:00,1901.081500736675,1816.3228609058765,-0.0016388526065012,1A,,
2021-04-26 00:00:00,1883.4719554557223,1791.3196588239364,-0.0092629091778173,1A,,
2021-05-03 00:00:00,1815.678638984821,1742.495387802333,-0.0359938019116925,1A,,
2021-05-10 00:00:00,1712.790773242114,1638.4073958077713,-0.0566663414624041,1A,,
2021-05-17 00:00:00,1711.994940837266,1667.0454693656786,-0.0004646407589771,1A,,
2021-05-24 00:00:00,1795.964426281424,1728.4288665364124,0.0490477415798272,1A,,
2021-05-31 00:00:00,1808.3473756142607,1716.230944625997,0.0068948745039881,1A,,
2021-06-07 00:00:00,1834.763672576284,1745.5602398843514,0.0146079770503434,1A,,
2021-06-14 00:00:00,1843.320008538264,1764.0179049813785,0.0046634539858563,1A,,
2021-06-21 00:00:00,1915.033926209732,1856.0112671304064,0.0389047573613307,1A,,
2021-06-28 00:00:00,1946.3013499437493,1884.0479120787584,0.0163273471587542,1A,,
2021-07-05 00:00:00,1930.234384573308,1869.1230806353929,-0.0082551272807298,1A,,
2021-07-12 00:00:00,1875.412537842661,1842.427854858833,-0.0284016527571936,1A,,
2021-07-19 00:00:00,1916.5221888432663,1890.8412905215928,0.0219203242865674,1A,,
2021-07-26 00:00:00,1936.857133250959,1912.2308663840647,0.0106103360170151,1A,,
2021-08-02 00:00:00,1966.3823102572608,1937.4059770084552,0.0152438589813515,1A,,
2021-08-09 00:00:00,1987.2228219460355,1952.3397052447235,0.0105984027521318,1A,,
2021-08-16 00:00:00,1931.1392059922773,1927.657545068116,-0.0282221074226777,1A,,
2021-08-23 00:00:00,2000.880461199776,2004.265074333893,0.036114048635693,1A,,
2021-08-30 00:00:00,2042.2263849994013,2039.6201657784204,0.0206638650341129,1A,,
2021-09-06 00:00:00,2024.8619492017133,2006.9209467140536,-0.0085026987826785,1A,,
2021-09-13 00:00:00,2028.761939513457,2038.9703882395536,0.0019260524468254,1A,,
2021-09-20 00:00:00,2042.8484454454967,2077.5882069004288,0.0069434001386175,1A,,
2021-09-27 00:00:00,1982.6442989256136,2000.754632825406,-0.0294706867041984,1A,,
2021-10-04 00:00:00,1984.423991954326,2013.13929852878,0.0008976360659735,1A,,
2021-10-11 00:00:00,2064.098178124472,2113.934527126946,0.0401497797311347,1A,,
2021-10-18 00:00:00,2164.6078543454296,2198.479677205832,0.048694232321975,1A,,
2021-10-25 00:00:00,2361.333495920458,2362.486293286482,0.0908828087175715,1A,,
2021-11-01 00:00:00,2498.04388498602,2519.439306934237,0.0578954176958693,1A,,
2021-11-08 00:00:00,2380.019460030672,2407.314383263577,-0.0472467380035675,1A,,
2021-11-15 00:00:00,2504.5401845359406,2538.861883594297,0.052319204357961,1A,,
2021-11-22 00:00:00,2399.879383477551,2447.1756462938674,-0.0417884295507049,1A,,
2021-11-29 00:00:00,2298.966582738497,2345.051848479868,-0.0420491135653766,1A,,
2021-12-06 00:00:00,2343.74070546702,2370.037429611062,0.019475760572034,1A,,
2021-12-13 00:00:00,2230.2650294776668,2263.7793670210785,-0.0484164804257823,1A,,
2021-12-20 00:00:00,2373.4924728409555,2418.2561717103563,0.0642199207135635,1A,,
2021-12-27 00:00:00,2357.4794986554066,2395.903934966528,-0.0067465873049019,1A,,
2022-01-03 00:00:00,2265.82148752432,2316.161863510464,-0.0388796641427268,1A,,
2022-01-10 00:00:00,2279.4391760964704,2339.1310572924262,0.0060100447661608,1A,,
2022-01-17 00:00:00,2068.6356949873075,2110.1303059508577,-0.0924804150598845,1A,,
2022-01-24 00:00:00,1982.922901447516,2030.688931975464,-0.0414344554468869,1A,,
2022-01-31 00:00:00,2079.8659908185,2146.1154479757683,0.0488889856989479,1A,,
2022-02-07 00:00:00,2003.1646500069685,2053.537148314725,-0.0368780205792715,1A,,
2022-02-14 00:00:00,1973.77613092788,2024.297131709663,-0.0146710451779322,1A,,
2022-02-21 00:00:00,1953.2975351088232,1998.5347523390665,-0.0103753386709712,1A,,
2022-02-28 00:00:00,1899.733637582068,1954.436646331519,-0.0274222931038367,1A,,
2022-03-07 00:00:00,1814.5330202693224,1915.0770726060969,-0.0448487175397842,1A,,
2022-03-14 00:00:00,2018.7719341426168,2147.499854332515,0.1125572869668583,1A,,
2022-03-21 00:00:00,2123.9262325909526,2215.245819486757,0.0520882506190554,1A,,
2022-03-28 00:00:00,2165.191687011048,2269.5235280395527,0.0194288548193858,1A,,
2022-04-04 00:00:00,2042.550380158024,2124.6505628816667,-0.0566422398482069,1A,,
2022-04-11 00:00:00,1972.225867394186,2085.975644630752,-0.0344297567624243,1A,,
2022-04-18 00:00:00,1916.38035130188,2027.811936873401,-0.0283159839932999,1A,,
2022-04-25 00:00:00,1774.846428013493,1900.5082183897784,-0.0738548186388139,1A,,
2022-05-02 00:00:00,1754.156801263195,1904.510737580313,-0.0116571363154249,1A,,
2022-05-09 00:00:00,1644.43416641563,1795.7636304350615,-0.0625500723587264,1A,,
2022-05-16 00:00:00,1523.3096441098303,1670.8380263837344,-0.0736572644740253,1A,,
2022-05-23 00:00:00,1675.4163817770236,1806.443712124124,0.099852802911964,1A,,
2022-05-30 00:00:00,1626.200780388713,1722.012860010265,-0.0293751463359278,1A,,
2022-06-06 00:00:00,1539.9375903239809,1655.0016173374654,-0.0530458422508643,1A,,
2022-06-13 00:00:00,1447.1934053168093,1601.2883418930758,-0.0602259374600107,1A,,
2022-06-20 00:00:00,1593.5833300790368,1764.180113479101,0.1011543614173537,1A,,
2022-06-27 00:00:00,1488.0658704960858,1639.82167165403,-0.0662139579344857,1A,,
2022-07-04 00:00:00,1602.8153069477107,1779.5209034997588,0.077113143125425,1A,,
2022-07-11 00:00:00,1566.360539532602,1759.009631208303,-0.0227442096772401,1A,,
2022-07-18 00:00:00,1668.659954602782,1885.381660995572,0.0653102606253767,1A,,
2022-07-25 00:00:00,1769.6893123540715,1987.8159944439635,0.0605452042356582,1A,,
2022-08-01 00:00:00,1795.251185771726,2010.800954072635,0.0144442717934773,1A,,
2022-08-08 00:00:00,1854.449875078904,2064.980666594294,0.0329751567782589,1A,,
2022-08-15 00:00:00,1799.245789425335,2021.8322619189075,-0.0297684431353098,1A,,
2022-08-22 00:00:00,1706.621231616757,1964.1287364764,-0.0514796579505469,1A,,
2022-08-29 00:00:00,1606.909075760402,1852.467948364098,-0.0584266467620899,1A,,
