date,estimated_usd,official_usd,index_krw,gap_pct
2026-01-05,1854.7108414355473,1854.7108414355473,2295.3547829081967,0.0
2026-01-06,1851.9587392058652,1851.9587392058652,2295.1687762993793,0.0
2026-01-07,1852.010468943401,1852.010468943401,2297.9770516829926,0.0
2026-01-08,1847.1372831966378,1847.1372831966378,2297.0404150232334,0.0
2026-01-09,1873.2603221764864,1873.2603221764864,2338.021605388033,0.0
2026-01-12,1886.2197914479952,1886.2595056537104,2369.9087469839646,0.002105447611856357
2026-01-13,1885.0659771846263,1884.8723157427598,2381.4036958457104,0.010274512509358487
2026-01-14,1870.386488192332,1870.2477263568792,2343.416108186129,0.007419436125886692
2026-01-15,1869.3657548163753,1868.4539839801496,2352.5227284936955,0.04879814242379695
2026-01-16,1877.5827553178372,1876.9174586248223,2368.861582000382,0.03544624138678432
2026-01-19,1877.5827553178372,1876.9174586248223,2369.1187908747697,0.03544624138678432
2026-01-20,1818.6587366696128,1817.6031874086386,2305.334077996811,0.058073691127220266
2026-01-21,1853.083339453255,1851.549542649723,2323.4285740578316,0.08283855053302659
2026-01-22,1885.912474799991,1884.457239639123,2363.1251312761906,0.07722303962422741
2026-01-23,1886.6569197792999,1885.3541589424167,2335.555210291509,0.06909899822821407
2026-01-26,1863.180139092558,1861.5780870278418,2305.304475067727,0.08605881622048928
2026-01-27,1878.720986357767,1877.1822066493548,2302.263747311953,0.08197284754572869
2026-01-28,1890.8982041262545,1889.4427956083782,2314.751908911177,0.0770284509940772
2026-01-29,1857.0339176368345,1854.8532772762874,2274.4733999195537,0.11756403523998757
2026-01-30,1844.2165580412425,1842.00772575627,2288.862935118706,0.11991438765901932
2026-02-02,1834.1814238688285,1831.6007355793909,2281.688582923496,0.14089797188366235
2026-02-03,1822.0521393315942,1819.9162113041016,2260.8510650621133,0.1173640860071264
2026-02-04,1752.5400687099159,1749.6059637321678,2191.008489235737,0.16770090172127908
2026-02-05,1707.137303667999,1703.8040458862642,2147.6459045970005,0.1956362170745373
