date,index_point,weekly_return,fx_rate,fx_return,index_point_krw,weekly_return_krw,component_count,core_count,satellite_count,top3_contributors,satellite_method,phase
2020-01-06,1000.0,0.0,1157.81005859375,0.0,1000.0,0.0,68,48,20,,SYMMETRIC,1
2020-01-13,1019.8135244098254,0.0198135244098253,1158.77001953125,0.0008291178076877959,1020.6590699634341,0.02065906996343414,68,48,20,"TSLA(+0.31%), MSFT(+0.24%), GOOGL(+0.19%)",SYMMETRIC,1
2020-01-20,1015.7296173851896,-0.0040045625272513,1167.5999755859375,0.007620110898502119,1024.318166575015,0.0035850331606930297,67,48,19,"TSLA(+0.49%), BYND(+0.07%), INTC(+0.06%)",SYMMETRIC,1
2020-01-27,1010.8784018991896,-0.0047760894267202,1187.1199951171875,0.016718071205383822,1036.4687667199664,0.01186213477554432,65,49,16,"AMZN(+0.86%), TSLA(+0.74%), MSFT(+0.20%)",SYMMETRIC,1
2020-02-03,1050.0075001702792,0.0387080169064605,1184.25,-0.002417611639086381,1073.9856445770952,0.036196824315175125,65,49,16,"TSLA(+0.77%), MSFT(+0.50%), AMZN(+0.38%)",SYMMETRIC,1
2020-02-10,1082.739656658979,0.031173259698994,1183.469970703125,-0.0006586694506016677,1106.7358244422753,0.030494057374552908,63,49,14,"NVDA(+0.55%), TSLA(+0.48%), SPCE(+0.34%)",SYMMETRIC,1
2020-02-17,1084.4732626105306,0.0016011290811138,1204.4000244140625,0.01768532724028682,1128.1121754555566,0.01931477281315397,66,49,17,"TSLA(+1.00%), TVIX(+0.10%), SPCE(+0.10%)",SYMMETRIC,1
2020-02-24,980.0888306860976,-0.0962535781409308,1211.31005859375,0.00573732484192635,1025.3767015700248,-0.09106849134399675,66,49,17,"TVIX(+0.62%), UVXY(+0.35%), SQQQ(+0.21%)",SYMMETRIC,1
2020-03-02,989.5076541362314,0.0096101732365831,1187.469970703125,-0.019681243230409318,1014.8561211282009,-0.010260210150781712,66,49,17,"TSLA(+0.47%), AAPL(+0.34%), TVIX(+0.32%)",SYMMETRIC,1
2020-03-09,890.7292723180652,-0.0998257885174143,1209.969970703125,0.018947847570981002,930.8570637571785,-0.0827694247709142,70,48,22,"TVIX(+0.59%), UVXY(+0.39%), SPXU(+0.05%)",SYMMETRIC,1
2020-03-16,791.809555763084,-0.1110547498877511,1256.8800048828125,0.03876958545708997,859.5620593610332,-0.07659071104685,70,49,21,"TVIX(+0.47%), AMZN(+0.34%), UVXY(+0.32%)",SYMMETRIC,1
2020-03-23,863.197283344004,0.0901576989837186,1212.18994140625,-0.03555634850021283,903.7398289575117,0.05139567191846339,70,49,21,"TSLA(+1.22%), TQQQ(+0.80%), NVDA(+0.73%)",SYMMETRIC,1
