isin,ticker,event_date,event_type,ratio,old_ticker,new_ticker,note,Unnamed: 8
US92766K1060,SPCE,2021-07-12,UNCONFIRMED,,,,"weekly_return=-38.6%, price_gap=25.8%",
US37950E1275,SRET,2020-03-16,UNCONFIRMED,,,,"weekly_return=-39.7%, price_gap=53.8%",
US37950E1275,SRET,2020-03-30,UNCONFIRMED,,,,"weekly_return=-30.5%, price_gap=53.1%",
US88160R1014,TSLA,2023-01-23,UNCONFIRMED,,,,"weekly_return=33.3%, price_gap=23.8%",
US25460G2865,TSLL,2024-07-01,UNCONFIRMED,,,,"weekly_return=59.8%, price_gap=30.4%",
US25460G2865,TSLL,2024-10-21,UNCONFIRMED,,,,"weekly_return=43.5%, price_gap=35.2%",
US25460G2865,TSLL,2024-11-04,UNCONFIRMED,,,,"weekly_return=61.9%, price_gap=57.9%",
US25460G2865,TSLL,2025-04-21,UNCONFIRMED,,,,"weekly_return=36.2%, price_gap=46.2%",
US26923N8359,TSLT,2024-07-01,UNCONFIRMED,,,,"weekly_return=58.4%, price_gap=41.3%",
US91332U1016,U,2022-05-09,UNCONFIRMED,,,,"weekly_return=-31.8%, price_gap=22.4%",
US91332U1016,U,2022-06-20,UNCONFIRMED,,,,"weekly_return=31.9%, price_gap=25.0%",
US74347W2474,UCO,2020-04-20,UNCONFIRMED,,,,"weekly_return=-58.2%, price_gap=51.0%",
US91232N1081,USO,2020-04-20,UNCONFIRMED,,,,"weekly_return=-39.0%, price_gap=31.5%",
US00507V1098,ATVI,2023-10-13,MERGER_CASH,95,ATVI,,Microsoft acquired at $95.00 per share cash. Completed 2023-10-13. Delisted. Last Return Price=$95.00,
US09609G1004,BLUE,2023-11-01,DELISTED,,,,bluebird bio Nasdaq delisted late 2023. Financial deterioration. Process last valid Return Price,
US09063M2052,BNOX,,,NO_DATA,,,,No data available. Small biotech. Presumed delisted. Use custody data period only then remove
US1714391026,CCIV,2021-07-26,TICKER_CHANGE,,CCIV,LCID,Churchill Capital Corp IV merged into Lucid Group. Trading as LCID from 2021-07-26. Connect to LCID data,
US19200A2042,CCNC,,,NO_DATA,,,,No data available. Small stock. Presumed delisted. Use custody data period only then remove
US13200M5085,CEI,2023-01-01,DELISTED,,,,Camber Energy Nasdaq delisted. Persistent extremely low price. Process last valid Return Price,
