date,rate
2020-11-20,1115.08
2020-11-23,1114.01
2020-11-24,1110.635
2020-11-25,1106.335
2020-11-26,1106.07
2020-11-27,1105.04
2020-11-30,1109.82
2020-12-01,1106.23
2020-12-02,1100.155
2020-12-03,1092.205
2020-12-04,1083.87
2020-12-07,1084.53
2020-12-08,1085.79
2020-12-09,1087.375
2020-12-10,1087.34
2020-12-11,1091.795
2020-12-14,1093.325
2020-12-15,1089.555
2020-12-16,1094.12
2020-12-17,1094.005
2020-12-18,1099.515
2020-12-21,1104.31
2020-12-22,1109.945
2020-12-23,1106.87
2020-12-24,1102.66
2020-12-25,1100.07
2020-12-28,1097.295
2020-12-29,1091.97
2020-12-30,1088.425
2020-12-31,1085.715
2021-01-01,1085.73
2021-01-04,1086.695
2021-01-05,1087.41
2021-01-06,1088.03
2021-01-07,1094.37
2021-01-08,1093.01
2021-01-11,1097.38
2021-01-12,1094.605
2021-01-13,1098.115
2021-01-14,1096.035
2021-01-15,1104.27
2021-01-18,1104.18
2021-01-19,1102.435
2021-01-20,1097.35
2021-01-21,1099.97
2021-01-22,1105.535
2021-01-25,1102.69
2021-01-26,1102.01
2021-01-27,1108.42
2021-01-28,1113.245
2021-01-29,1118.495
2021-02-01,1117.445
2021-02-02,1115.505
2021-02-03,1113.585
2021-02-04,1120.085
2021-02-05,1117.76
2021-02-08,1117.305
2021-02-09,1111.005
2021-02-10,1106.48
2021-02-11,1103.12
2021-02-12,1104.37
2021-02-15,1102.31
2021-02-16,1107.58
2021-02-17,1106.5
2021-02-18,1107.085
2021-02-19,1106.06
2021-02-22,1112.58
2021-02-23,1110.225
2021-02-24,1107.54
2021-02-25,1119.475
2021-02-26,1124.89
2021-03-01,1113.53
2021-03-02,1125.29
2021-03-03,1127.05
2021-03-04,1131.03
2021-03-05,1128.2
2021-03-08,1141.83
2021-03-09,1135.91
2021-03-10,1136.91
2021-03-11,1130.85
2021-03-12,1136.5
2021-03-15,1132.85
2021-03-16,1129.5
2021-03-17,1121.905
2021-03-18,1128.25
2021-03-19,1129.475
2021-03-22,1126.5
2021-03-23,1133.4
2021-03-24,1135.4
2021-03-25,1135.24
2021-03-26,1128.945
2021-03-29,1132.56
2021-03-30,1133.54
2021-03-31,1127.965
2021-04-01,1128.865
2021-04-02,1129.64
2021-04-05,1125.035
2021-04-06,1119.29
2021-04-07,1119.205
2021-04-08,1116.75
2021-04-09,1121.115
2021-04-12,1125.23
2021-04-13,1121.55
2021-04-14,1116.255
2021-04-15,1116.855
2021-04-16,1116.65
2021-04-19,1115.505
2021-04-20,1117.455
2021-04-21,1116.7
2021-04-22,1120.175
2021-04-23,1115.075
2021-04-26,1110.435
2021-04-27,1113.505
2021-04-28,1110.055
2021-04-29,1107.805
2021-04-30,1117.755
2021-05-03,1120.5
2021-05-04,1125.945
2021-05-05,1124.895
2021-05-06,1120.455
2021-05-07,1113.01
2021-05-10,1116.855
2021-05-11,1119.755
2021-05-12,1132.905
2021-05-13,1126.905
2021-05-14,1126.49
2021-05-17,1136.905
2021-05-18,1127.105
2021-05-19,1131.355
2021-05-20,1127.835
2021-05-21,1127.765
2021-05-24,1123.655
2021-05-25,1122.535
2021-05-26,1116.785
2021-05-27,1118.725
2021-05-28,1113.83
2021-05-31,1108.085
2021-06-01,1108.555
2021-06-02,1111.095
2021-06-03,1116.635
2021-06-04,1110.685
2021-06-07,1110.795
2021-06-08,1117.895
2021-06-09,1117.01
2021-06-10,1112.495
2021-06-11,1116.55
2021-06-14,1117.33
2021-06-15,1118.09
2021-06-16,1132.855
2021-06-17,1134.475
2021-06-18,1135.245
2021-06-21,1131.575
2021-06-22,1133.745
2021-06-23,1136.025
2021-06-24,1131.87
2021-06-25,1127.335
2021-06-28,1130.215
2021-06-29,1131.795
2021-06-30,1130.63
2021-07-01,1134.505
2021-07-02,1130.77
2021-07-05,1130.595
2021-07-06,1136.925
2021-07-07,1141.675
2021-07-08,1146.765
2021-07-09,1145.325
2021-07-12,1147.025
2021-07-13,1150.115
2021-07-14,1144.365
2021-07-15,1141.765
2021-07-16,1142.5
2021-07-19,1151.915
2021-07-20,1148.465
2021-07-21,1149.485
2021-07-22,1150.725
2021-07-23,1152.12
2021-07-26,1152.715
2021-07-27,1154.425
2021-07-28,1150.445
2021-07-29,1143.295
2021-07-30,1151.885
2021-08-02,1150.355
2021-08-03,1148.615
2021-08-04,1144.935
2021-08-05,1142.99
2021-08-06,1145.93
2021-08-09,1147.065
2021-08-10,1152.875
2021-08-11,1154.155
2021-08-12,1163.155
2021-08-13,1162.365
2021-08-16,1165.455
2021-08-17,1177.44
2021-08-18,1170.205
2021-08-19,1176.455
2021-08-20,1175.24
2021-08-23,1169.535
2021-08-24,1163.825
2021-08-25,1164.045
2021-08-26,1170.705
2021-08-27,1162.23
2021-08-30,1166.07
2021-08-31,1158.905
2021-09-01,1156.08
2021-09-02,1158.225
2021-09-03,1155.78
2021-09-06,1157.215
2021-09-07,1162.155
2021-09-08,1167.14
2021-09-09,1169.815
2021-09-10,1170.38
2021-09-13,1173.435
2021-09-14,1172.405
2021-09-15,1166.405
2021-09-16,1175.365
2021-09-17,1182.11
2021-09-20,1187.415
2021-09-21,1184.405
2021-09-22,1181.97
2021-09-23,1174.835
2021-09-24,1180.255
2021-09-27,1178.225
2021-09-28,1187.575
2021-09-29,1188.13
2021-09-30,1184.775
2021-10-01,1180.615
2021-10-04,1184.455
2021-10-05,1186.97
2021-10-06,1190.7
2021-10-07,1191.33
2021-10-08,1196.84
2021-10-11,1195.75
2021-10-12,1197.78
2021-10-13,1186.87
2021-10-14,1182.2
2021-10-15,1182.495
2021-10-18,1185.83
2021-10-19,1175.62
2021-10-20,1175.805
2021-10-21,1177.955
2021-10-22,1177.655
2021-10-25,1168.13
2021-10-26,1168.06
2021-10-27,1172.16
2021-10-28,1168.55
2021-10-29,1174.61
2021-11-01,1177.56
2021-11-02,1178.59
2021-11-03,1178.89
2021-11-04,1186.02
2021-11-05,1181.54
2021-11-08,1180.95
2021-11-09,1178.51
2021-11-10,1185.15
2021-11-11,1182.5
2021-11-12,1179.945
2021-11-15,1183.56
2021-11-16,1183.995
2021-11-17,1180.585
2021-11-18,1182.99
2021-11-19,1187.275
2021-11-22,1190.57
2021-11-23,1190.07
2021-11-24,1188.81
2021-11-25,1190.245
2021-11-26,1195.635
2021-11-29,1190.965
2021-11-30,1182.84
2021-12-01,1177.06
2021-12-02,1176.855
2021-12-03,1181.0
2021-12-06,1180.66
2021-12-07,1176.78
2021-12-08,1175.31
2021-12-09,1178.27
2021-12-10,1180.965
2021-12-13,1185.105
2021-12-14,1185.24
2021-12-15,1185.41
2021-12-16,1186.385
2021-12-17,1187.83
2021-12-20,1189.58
2021-12-21,1190.72
2021-12-22,1190.325
2021-12-23,1185.635
2021-12-24,1186.98
2021-12-27,1186.59
2021-12-28,1188.14
2021-12-29,1184.79
2021-12-30,1189.96
2021-12-31,1188.87
2022-01-03,1193.5
2022-01-04,1197.54
2022-01-05,1199.43
2022-01-06,1205.025
2022-01-07,1197.68
2022-01-10,1198.135
2022-01-11,1192.51
2022-01-12,1185.96
2022-01-13,1186.77
2022-01-14,1190.17
2022-01-17,1190.98
2022-01-18,1193.03
2022-01-19,1188.21
2022-01-20,1192.495
2022-01-21,1192.595
2022-01-24,1195.685
2022-01-25,1196.4
2022-01-26,1197.53
2022-01-27,1203.82
2022-01-28,1209.71
2022-01-31,1204.75
2022-02-01,1202.47
2022-02-02,1200.36
2022-02-03,1200.65
2022-02-04,1198.385
2022-02-07,1196.92
2022-02-08,1196.4
2022-02-09,1194.17
2022-02-10,1199.88
2022-02-11,1199.78
2022-02-14,1197.445
2022-02-15,1196.865
2022-02-16,1196.69
2022-02-17,1198.755
2022-02-18,1195.75
2022-02-21,1194.6
2022-02-22,1193.025
2022-02-23,1192.6
2022-02-24,1206.11
2022-02-25,1197.92
2022-02-28,1201.18
2022-03-01,1205.415
2022-03-02,1203.255
2022-03-03,1206.975
2022-03-04,1217.82
2022-03-07,1232.255
2022-03-08,1233.635
2022-03-09,1223.245
2022-03-10,1228.88
2022-03-11,1237.13
2022-03-14,1242.01
2022-03-15,1241.62
2022-03-16,1225.865
2022-03-17,1210.58
2022-03-18,1211.31
2022-03-21,1217.76
2022-03-22,1215.185
2022-03-23,1219.02
2022-03-24,1221.065
2022-03-25,1225.38
2022-03-28,1223.82
2022-03-29,1208.825
2022-03-30,1210.505
2022-03-31,1215.13
2022-04-01,1219.78
2022-04-04,1214.49
2022-04-05,1218.82
2022-04-06,1217.6
2022-04-07,1222.755
2022-04-08,1229.24
2022-04-11,1234.9
2022-04-12,1228.57
2022-04-13,1223.365
2022-04-14,1230.255
2022-04-15,1229.08
2022-04-18,1235.45
2022-04-19,1239.81
2022-04-20,1234.16
2022-04-21,1243.01
2022-04-22,1244.16
2022-04-25,1250.225
2022-04-26,1260.98
2022-04-27,1266.395
2022-04-28,1272.38
2022-04-29,1263.53
2022-05-02,1267.635
2022-05-03,1260.95
2022-05-04,1251.525
2022-05-05,1269.565
2022-05-06,1270.04
2022-05-09,1275.005
2022-05-10,1276.63
2022-05-11,1279.135
2022-05-12,1290.87
2022-05-13,1278.565
2022-05-16,1280.635
2022-05-17,1266.8
2022-05-18,1275.74
2022-05-19,1263.99
2022-05-20,1274.21
2022-05-23,1258.87
2022-05-24,1261.135
2022-05-25,1266.55
2022-05-26,1261.06
2022-05-27,1252.59
2022-05-30,1236.35
2022-05-31,1242.48
2022-06-01,1247.23
2022-06-02,1241.14
2022-06-03,1251.49
2022-06-06,1254.8
2022-06-07,1254.85
2022-06-08,1257.41
2022-06-09,1264.38
2022-06-10,1279.5
2022-06-13,1291.88
2022-06-14,1289.92
2022-06-15,1278.47
2022-06-16,1288.57
2022-06-17,1291.54
2022-06-20,1292.55
2022-06-21,1292.085
2022-06-22,1297.69
2022-06-23,1300.135
2022-06-24,1289.28
2022-06-27,1286.63
2022-06-28,1292.425
2022-06-29,1302.51
2022-06-30,1288.05
2022-07-01,1298.93
2022-07-04,1296.28
2022-07-05,1309.32
2022-07-06,1305.14
2022-07-07,1297.96
2022-07-08,1294.79
2022-07-11,1311.16
2022-07-12,1306.39
2022-07-13,1305.1
2022-07-14,1317.575
2022-07-15,1319.225
2022-07-18,1319.2
2022-07-19,1305.67
2022-07-20,1313.7
2022-07-21,1306.72
2022-07-22,1310.785
2022-07-25,1311.47
2022-07-26,1311.03
2022-07-27,1306.37
2022-07-28,1296.07
